source,emotion,mae,n
CREMA-D,happy,0.2579003905290619,782
CREMA-D,sad,0.3874538886134655,782
CREMA-D,anger,0.3805622662672375,782
CREMA-D,surprise,0.10767744524088736,782
CREMA-D,disgust,0.37218747727323515,782
CREMA-D,fear,0.40853639264915836,782
AffectNet,happy,0.2369160734744898,4740
AffectNet,sad,0.44258311996397387,4740
AffectNet,anger,0.40744370384600914,4740
AffectNet,surprise,0.5158402668095481,4740
AffectNet,disgust,0.42278606709341904,4740
AffectNet,fear,0.4376509371732491,4740
