,Brows,Eyes,Cheeks,Nose,Mouth / smile,Mouth / other,Jaw,Overall neutrality
happy,0.048499675466070806,0.11878482305429022,0.006375862852190466,0.0032842144186002414,0.5289004623109316,0.1670997116180187,0.12560785755713297,0.0014473927227648836
sad,0.2087056082081844,0.2514938577538448,0.021711973010996945,0.006377694704196226,0.18259074102312164,0.26672991205452584,0.060309274384197316,0.0020809388609327245
anger,0.3158615772381234,0.21806293763627463,0.016355463906702495,0.009897264391389899,0.16282603955619,0.1989702847679774,0.07596552188670098,0.0020609106166411457
surprise,0.23562816858236718,0.3009565044780426,0.013712904532783617,0.0057900678588395545,0.13186308132665742,0.253671533911569,0.05446943984833171,0.003908299461408697
disgust,0.15900301928120755,0.2231935349747417,0.013166921567032332,0.00818728244283274,0.20558545450315902,0.3450078441558455,0.042158609233707865,0.0036973338414732905
fear,0.10551406598713454,0.4291463190052894,0.02149818944813957,0.009618263132354707,0.11626300432512246,0.22333122872584368,0.09245016041422872,0.0021787689618867644
