Emotion,Accuracy,Precision,Recall,F1,ROC AUC,Avg Precision
Happy,0.9509235784136183,0.9151743638077285,0.8428819444444444,0.877541798463624,0.9822072447876938,0.9514392338822906
Sad,0.9099963781238681,0.8103448275862069,0.16520210896309315,0.27445255474452557,0.8722809878588076,0.5364726329335984
Anger,0.9145237232886635,0.7407407407407407,0.40561622464898595,0.5241935483870968,0.9103942153998391,0.6216485599304142
Surprise,0.8931546541108294,0.7368421052631579,0.510250569476082,0.6029609690444145,0.9300432232836746,0.7262638668699668
Disgust,0.9103585657370518,0.7614213197969543,0.2508361204013378,0.37735849056603776,0.8860882742094554,0.5665436352906286
Fear,0.9065555957986237,0.7424749163879598,0.3358547655068079,0.4625,0.8949943061590272,0.6139096918172955
