emotion,mae,rmse,r2,n,baseline_mae,improvement_over_baseline_pct
happy,0.23988777502042888,0.566998399936174,0.7805357551050397,5522,1.007408976952775,76.18764766757937
sad,0.4347759741986538,0.7684853248534365,0.2716344021896052,5522,0.5552186993907864,21.692843797279938
anger,0.40363687947320953,0.747870513337574,0.3802311373231275,5522,0.6196494848478934,34.860451054471376
surprise,0.45803814321905684,0.8141447313442518,0.4492344068406343,5522,0.7791573630973204,41.2136540174304
disgust,0.415620529744744,0.7651844912558242,0.3096177513280173,5522,0.5714004539834878,27.262828223662126
fear,0.43352787056371644,0.7773076396193893,0.34846597988498496,5522,0.6201039020258992,30.08786605803203
