emotion,cv_mae_mean,cv_mae_std
happy,0.254634078499837,0.0032234214087192834
sad,0.44389870820409083,0.004444680967199691
anger,0.4076140672809084,0.020600599626235852
surprise,0.4438975980671593,0.009964776043654514
disgust,0.418095397494333,0.007678889509534822
fear,0.4210195289977916,0.008600176821573493
